"","source","target","value"
"420","ITS Service Center","SA Fin Aid Stdnt Financials SEVIS",63
"421","SA Student Records Advising Curriculum","SA Fin Aid Stdnt Financials SEVIS",11
"422","ITS Service Center","SA Global Engagement",9
"423","ITS Service Center","SA Recruiting Admissions",164
"424","SA Student Records Advising Curriculum","SA Recruiting Admissions",13
"425","ITS Access and Accounts","SA Student Records Advising Curriculum",28
"426","ITS Service Center","SA Student Records Advising Curriculum",155
"427","SA Recruiting Admissions","SA Student Records Advising Curriculum",13
"428","Student Administration Application Service","SA Student Records Advising Curriculum",8
"429","ITS Access and Accounts","ServiceLink",8
"430","ITS Service Center","ServiceLink",98
"431","ITS SM Service Management","ServiceLink",11
"432","ITS Service Center","SiteMaker",414
"433","ITS Service Center","Sites Admin and Facilities",7
"434","MiWorkspace Engineering Print","Sites Admin and Facilities",6
"435","MiWorkspace Engineering Windows","Sites Admin and Facilities",8
"436","ITS Service Center","Sites Classrooms and Software",6
"437","ITS Service Center","Sites Consultants",23
"438","ITS Tech Repair","Sites Consultants",7
"439","MiWorkspace Engineering Windows","Sites Consultants",7
"440","Sites Rovers","Sites Consultants",10
"441","ITS Service Center","Sites Rovers",1015
"442","ITS Tech Repair","Sites Rovers",38
"443","MiWorkspace","Sites Rovers",95
"444","MiWorkspace Engineering Print","Sites Rovers",14
"445","MiWorkspace Engineering Windows","Sites Rovers",19
"446","NIT Central 4","Sites Rovers",9
"447","ITS Service Center","SMTD - Unit IT",7
"448","NIT North 1","SMTD - Unit IT",7
"449","ITS Service Center","SNRE - Unit IT",19
"450","SOE - Brandon Center Desk","SOE - Instructional Support",41
"451","ITS Service Center","Splunk",8
"452","ITS Access and Accounts Business Analysts","Tableau",6
"453","ITS Service Center","Tableau",22
"454","ITS Service Center","Taubman College - Unit IT",13
"455","NIT North 1","Taubman College - Unit IT",8
"456","ITS Network","UMFirewall",8
"457","ITS Security Firewall","UMFirewall",15
"458","ITS Service Center","UMFirewall",12
"459","UMNet","UMFirewall",6
"460","ITS Service Center","UmichITAM",20
"461","LSA IT Service Desk","UmichITAM",7
"462","NIT Central 4","UmichITAM",6
"463","CSDC Field Service Techs","UMNet",7
"464","ITS Network","UMNet",125
"465","ITS NOC Network Operation Center","UMNet",18
"466","ITS Security Firewall","UMNet",13
"467","ITS Service Center","UMNet",59
"468","ITS Service Center","UNIT University Library",37
"469","NIT Central 4","UNIT University Library",23
"470","ITS Service Center","University Unions",16
"471","ITS NOC Network Operation Center","Video Services",176
"472","ITS Service Center","Video Services",106
"473","ITS Service Center","Virtual Desktop Infrastructure",30
"474","MiWorkspace Engineering Windows","Virtual Desktop Infrastructure",9
"475","CSDC Field Service Techs","Voice Services Operations",16
"476","ITS NOC Network Operation Center","Voice Services Operations",49
"477","ITS Service Center","Voice Services Operations",13
"478","CSDC Billing Analysts","WIFI",6
"479","CSDC Field Service Techs","WIFI",7
"480","ITS Network","WIFI",45
"481","ITS NOC Network Operation Center","WIFI",14
"482","ITS Service Center","WIFI",27
